id,immOpt,delOpt,delay,task
1,4.999650024,5,7,loss
2,9.999300049,10,7,loss
3,19.9986001,20,7,loss
4,49.99650024,50,7,loss
5,4.99850045,5,30,loss
6,9.9970009,10,30,loss
7,19.9940018,20,30,loss
8,49.9850045,50,30,loss
9,4.995504046,5,90,loss
10,9.991008093,10,90,loss
11,19.98201619,20,90,loss
12,49.95504046,50,90,loss
13,4.991016171,5,180,loss
14,9.982032342,10,180,loss
15,19.96406468,20,180,loss
16,49.91016171,50,180,loss
17,4.98181637,5,365,loss
18,9.96363274,10,365,loss
19,19.92726548,20,365,loss
20,49.8181637,50,365,loss
21,4.945843019,5,1095,loss
22,9.891686038,10,1095,loss
23,19.78337208,20,1095,loss
24,49.45843019,50,1095,loss
25,4.965243297,5,7,loss
26,9.930486594,10,7,loss
27,19.86097319,20,7,loss
28,49.65243297,50,7,loss
29,4.854368932,5,30,loss
30,9.708737864,10,30,loss
31,19.41747573,20,30,loss
32,48.54368932,50,30,loss
33,4.587155963,5,90,loss
34,9.174311927,10,90,loss
35,18.34862385,20,90,loss
36,45.87155963,50,90,loss
37,4.237288136,5,180,loss
38,8.474576271,10,180,loss
39,16.94915254,20,180,loss
40,42.37288136,50,180,loss
41,3.663003663,5,365,loss
42,7.326007326,10,365,loss
43,14.65201465,20,365,loss
44,36.63003663,50,365,loss
45,2.386634845,5,1095,loss
46,4.77326969,10,1095,loss
47,9.546539379,20,1095,loss
48,23.86634845,50,1095,loss
49,4.672897196,5,7,loss
50,9.345794393,10,7,loss
51,18.69158879,20,7,loss
52,46.72897196,50,7,loss
53,3.846153846,5,30,loss
54,7.692307692,10,30,loss
55,15.38461538,20,30,loss
56,38.46153846,50,30,loss
57,2.631578947,5,90,loss
58,5.263157895,10,90,loss
59,10.52631579,20,90,loss
60,26.31578947,50,90,loss
61,1.785714286,5,180,loss
62,3.571428571,10,180,loss
63,7.142857143,20,180,loss
64,17.85714286,50,180,loss
65,1.075268817,5,365,loss
66,2.150537634,10,365,loss
67,4.301075269,20,365,loss
68,10.75268817,50,365,loss
69,0.418410042,5,1095,loss
70,0.836820084,10,1095,loss
71,1.673640167,20,1095,loss
72,4.184100418,50,1095,loss
73,0.961538462,5,7,loss
74,1.923076923,10,7,loss
75,3.846153846,20,7,loss
76,9.615384615,50,7,loss
77,0.263157895,5,30,loss
78,0.526315789,10,30,loss
79,1.052631579,20,30,loss
80,2.631578947,50,30,loss
81,0.090909091,5,90,loss
82,0.181818182,10,90,loss
83,0.363636364,20,90,loss
84,0.909090909,50,90,loss
85,0.04587156,5,180,loss
86,0.091743119,10,180,loss
87,0.183486239,20,180,loss
88,0.458715596,50,180,loss
89,0.022727273,5,365,loss
90,0.045454545,10,365,loss
91,0.090909091,20,365,loss
92,0.227272727,50,365,loss
93,0.007598784,5,1095,loss
94,0.015197568,10,1095,loss
95,0.030395137,20,1095,loss
96,0.075987842,50,1095,loss
97,4.999650024,5,7,reward
98,9.999300049,10,7,reward
99,19.9986001,20,7,reward
100,49.99650024,50,7,reward
101,4.99850045,5,30,reward
102,9.9970009,10,30,reward
103,19.9940018,20,30,reward
104,49.9850045,50,30,reward
105,4.995504046,5,90,reward
106,9.991008093,10,90,reward
107,19.98201619,20,90,reward
108,49.95504046,50,90,reward
109,4.991016171,5,180,reward
110,9.982032342,10,180,reward
111,19.96406468,20,180,reward
112,49.91016171,50,180,reward
113,4.98181637,5,365,reward
114,9.96363274,10,365,reward
115,19.92726548,20,365,reward
116,49.8181637,50,365,reward
117,4.945843019,5,1095,reward
118,9.891686038,10,1095,reward
119,19.78337208,20,1095,reward
120,49.45843019,50,1095,reward
121,4.965243297,5,7,reward
122,9.930486594,10,7,reward
123,19.86097319,20,7,reward
124,49.65243297,50,7,reward
125,4.854368932,5,30,reward
126,9.708737864,10,30,reward
127,19.41747573,20,30,reward
128,48.54368932,50,30,reward
129,4.587155963,5,90,reward
130,9.174311927,10,90,reward
131,18.34862385,20,90,reward
132,45.87155963,50,90,reward
133,4.237288136,5,180,reward
134,8.474576271,10,180,reward
135,16.94915254,20,180,reward
136,42.37288136,50,180,reward
137,3.663003663,5,365,reward
138,7.326007326,10,365,reward
139,14.65201465,20,365,reward
140,36.63003663,50,365,reward
141,2.386634845,5,1095,reward
142,4.77326969,10,1095,reward
143,9.546539379,20,1095,reward
144,23.86634845,50,1095,reward
145,4.672897196,5,7,reward
146,9.345794393,10,7,reward
147,18.69158879,20,7,reward
148,46.72897196,50,7,reward
149,3.846153846,5,30,reward
150,7.692307692,10,30,reward
151,15.38461538,20,30,reward
152,38.46153846,50,30,reward
153,2.631578947,5,90,reward
154,5.263157895,10,90,reward
155,10.52631579,20,90,reward
156,26.31578947,50,90,reward
157,1.785714286,5,180,reward
158,3.571428571,10,180,reward
159,7.142857143,20,180,reward
160,17.85714286,50,180,reward
161,1.075268817,5,365,reward
162,2.150537634,10,365,reward
163,4.301075269,20,365,reward
164,10.75268817,50,365,reward
165,0.418410042,5,1095,reward
166,0.836820084,10,1095,reward
167,1.673640167,20,1095,reward
168,4.184100418,50,1095,reward
169,0.961538462,5,7,reward
170,1.923076923,10,7,reward
171,3.846153846,20,7,reward
172,9.615384615,50,7,reward
173,0.263157895,5,30,reward
174,0.526315789,10,30,reward
175,1.052631579,20,30,reward
176,2.631578947,50,30,reward
177,0.090909091,5,90,reward
178,0.181818182,10,90,reward
179,0.363636364,20,90,reward
180,0.909090909,50,90,reward
181,0.04587156,5,180,reward
182,0.091743119,10,180,reward
183,0.183486239,20,180,reward
184,0.458715596,50,180,reward
185,0.022727273,5,365,reward
186,0.045454545,10,365,reward
187,0.090909091,20,365,reward
188,0.227272727,50,365,reward
189,0.007598784,5,1095,reward
190,0.015197568,10,1095,reward
191,0.030395137,20,1095,reward
192,0.075987842,50,1095,reward
